## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SLX-18684.D712rna_D508rna.HKMGVDRXX.s_2.Star_Aligned.sortedByCoord.out.bam] OUTPUT=SLX-18684.D712rna_D508rna.HKMGVDRXX.s_2.marked_duplicates.bam METRICS_FILE=SLX-18684.D712rna_D508rna.HKMGVDRXX.s_2.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 08 14:44:58 BST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	317	5972757	2115737	0	133	2584790	141431	0.432763	4836281

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.01232	2639900	0	2692885
2.0	1.306741	480665	103470	456125
3.0	1.39237	128066	9955	112109
4.0	1.417274	44772	2160	38058
5.0	1.424517	20672	720	17973
6.0	1.426624	12026	356	10961
7.0	1.427236	8397	199	7898
8.0	1.427415	6195	129	5876
9.0	1.427466	5006	102	4899
10.0	1.427481	4258	64	4074
11.0	1.427486	3312	50	3247
12.0	1.427487	2728	27	2647
13.0	1.427487	2388	12	2342
14.0	1.427488	2199	21	2134
15.0	1.427488	1854	14	1835
16.0	1.427488	1578	12	1573
17.0	1.427488	1478	16	1447
18.0	1.427488	1369	9	1296
19.0	1.427488	1163	10	1137
20.0	1.427488	1039	6	1036
21.0	1.427488	999	3	967
22.0	1.427488	873	2	867
23.0	1.427488	828	3	819
24.0	1.427488	760	5	734
25.0	1.427488	719	1	688
26.0	1.427488	665	2	655
27.0	1.427488	605	5	581
28.0	1.427488	545	2	533
29.0	1.427488	536	1	549
30.0	1.427488	479	0	473
31.0	1.427488	461	1	427
32.0	1.427488	432	0	426
33.0	1.427488	384	1	374
34.0	1.427488	380	1	355
35.0	1.427488	353	1	360
36.0	1.427488	318	0	344
37.0	1.427488	343	0	324
38.0	1.427488	339	1	321
39.0	1.427488	291	0	277
40.0	1.427488	274	0	253
41.0	1.427488	230	0	240
42.0	1.427488	261	1	259
43.0	1.427488	234	0	231
44.0	1.427488	250	0	263
45.0	1.427488	222	0	208
46.0	1.427488	189	1	176
47.0	1.427488	194	0	190
48.0	1.427488	193	0	165
49.0	1.427488	175	0	166
50.0	1.427488	159	0	145
51.0	1.427488	139	0	161
52.0	1.427488	165	0	150
53.0	1.427488	155	0	159
54.0	1.427488	144	0	137
55.0	1.427488	150	0	131
56.0	1.427488	135	2	123
57.0	1.427488	110	0	116
58.0	1.427488	107	1	107
59.0	1.427488	119	1	101
60.0	1.427488	88	0	113
61.0	1.427488	104	0	95
62.0	1.427488	110	0	127
63.0	1.427488	119	0	123
64.0	1.427488	101	0	95
65.0	1.427488	101	0	84
66.0	1.427488	91	0	90
67.0	1.427488	92	0	77
68.0	1.427488	81	0	71
